Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
Imprimerie de Jules Claye,,,,
"Avenue Press, Ltd.",,,,
Léon Subercaze,French,1750,1950,
Ralf Leopold von Retberg-Wettbergen,German,1812,1885,
Jack Stewart,American,1926,2005,
David Riccio,Italian,1533,1566,
"John Wilmot, 2nd Earl of Rochester",British,1647,1680,
R. Stanier,British,1770,1791,
Henry Prellwitz,American,1865,1940,
"Nicholas Ridley, Bishop of London",British,1500,1555,
"James Stuart, 1st Duke of Richmond and 4th Duke of Lennox",British,1612,1655,
"Ludovic Stuart, 1st Duke of Richmond and 2nd Duke of Lennox",British,1574,1624,
Sir George Gilbert Scott,British,1811,1878,
Richard Josey,British,1840,1906,
N. Lambert,French,1800,1900,
George Routledge and Sons,,,,
"Anonymous, North-Italian, probably Lombard, 15th century",Italian,1470,1500,
Mabel Royds,British,1874,1941,Female
Cecil Wotton Toovey,British,1891,1954,
"Blaisdell Pencil Co,",American,1893,,
Robert Kendrick,American,1900,1904,
Hishikawa School,,,,
Ed Kienholz,American,1927,1994,
Nancy Reddin Kienholz,American,1943,2019,
Edward Lownes,,1792,1834,
Baldwin Gardiner,,1791,1869,
"Anonymous, Central European, 18th century",Central European,1700,1800,
Robert A. West,American,1840,1860,
Edward Prentis,British,1797,1854,
Michael Gottlieb Bindesbøll,Danish,1800,1856,
Helena de Kay,,1846,1916,
Toby [pseudonym],American,1870,1880,
E. Teel,American,1830,1860,
John Stevens Cabot Abbott,American,1805,1877,
W. H. Ashton,American,1800,1900,
Frederick Halpin,"American, born Britain",1805,1880,
Royal Cabinet Maker of Savoy,Italian,,,
Pietro Piffetti,Italian,1701,1777,
Alma (?) Yoder,American,,,
Sigmund Rudl,Czech,1802,1864,
Kōgetsu Sōgan,Japanese,1574,1643,
J. Gapper,British,1760,1770,
Henry Isaacson,British,1581,1654,
James Mason,British,1743,1805,
Charles Farley,British,1771,1859,
Nicolas-Guy Brenet,French,1728,1792,
Boys and Graves,British,1800,1850,
J. L. A.,British,1800,1826,
Betty Friedan,American,1921,2006,
Little Art Rooms,British,1900,1950,
Rose Mary Byrd,American,,,
Renos Mandis,"American, born Greece",1932,9999,
Lila Karp,American,1933,2008,
Anne Koedt,"American, born Denmark",1941,9999,
Jayne West,American,,,
Roxanne Dunbar-Ortiz,American,,9999,
Kate Millett,American,,9999,
Fumio Yoshimura,"American, born Japan",,,
Shulamith Firestone,"American, born Canada",,,
Irene Peslikis,American,,,
"Isadore ""Dore"" Freeman",American,,,
John Elliotte,American,1902,1986,
Lambert Sigisbert Adam,French,1700,1759,
Sean Donnola,American,1983,9999,
Leslie Hewitt,American,1977,9999,Female
Hank Willis Thomas,American,1977,9999,
Molly Goddard,British,1988,9999,Female
Jacob Leendertsz,Dutch,,1596,
Lambert Cornelisz,Dutch,1593,1621,
Gerard Petrus Fieret,Dutch,1924,2009,
Jean-Alexandre Chevalier,French,1750,1850,
Florion,French,1780,1880,
John Brower,American,1900,9999,
Forceval,French,1790,1890,
Charles Edmonds,American,1823,,
Jean Etienne Guerrier,French,1773,1846,
J. Platier,French,1800,1900,
Charles X,,1757,1836,
Antoine Claude Pannetier,French,1772,1859,
Adolphe Thiers,French,1797,1877,
André Marie Jean Jacques Dupin,French,1783,1865,
Hippolyte Robillard,French,1800,1900,
Eric Henri Kennington,British,1888,1960,
Rosa Frances Corder,British,1853,1893,
"Margaret Campbell (""Highland Mary"")","British, Scottish",1763,1786,
François Pierre Janet,French,1784,1870,
Samuel Marie Clédat de Lavigerie,French,1846,1900,
Edouard Louis Frick,French,1814,1899,
Custrin Trowitzsch,German,1779,1850,
Charles Boulanger de Boisfrémont,French,1773,1838,
P. J. Feuchère,French,1800,1900,
F. Sansom,British,1797,1810,
Louis Alexandre Eustache Lorsay,French,1822,1922,
François Courtin,French,1800,1900,
Adrien Jorel,French,1800,1900,
Adolphe Pierre Leleux,French,1812,1891,
Alphonse Bareste,French,1821,1886,
Predhomme,French,1800,1900,
Gabry,French,1800,1900,
Halley,French,1800,1900,
G. Silbermann,French,1800,1999,
Bohemian Painter,Bohemian,,,
Alboin Birks,,1850,1950,
G-W Press,British,1991,9999,
Jules Hetzel,French,1814,1886,
Pierre Etienne Perlet,French,1804,1843,
Louis-Napoléon Bonaparte,,1808,1873,
"George (Georgios) I, King of Greece",Danish,1845,1913,
Queen Olga of Greece,"Greek, born Russia",1851,1926,
"Willem III, King of the Netherlands",Dutch,1817,1890,
Leopold II,Belgian,1835,1909,
"William I, King of Prussia",,1797,1888,
Frederika Bremer,Swedish,1801,1865,Female
Tsesarevich Alexander Alexandrovich of Russia,Russian,1845,1894,
King Louis of Portugal,Portuguese,1838,1889,
Christian IX,Danish,1818,1906,
Worthington George Smith,British,1835,1917,
"Charles XV, King of Sweden and Norway",Swedish,1826,1872,
Sir Joseph Whitworth,British,1803,1887,
Kate Josephine Bateman,American,1842,1917,
"Sidney Herbert, 1st Baron Herbert of Lea",British,1810,1861,
"William Theed, the Younger",British,1804,1891,
Isma'il Pasha,Egyptian,1830,1895,
Maria Fyodorovna,Russian,1847,1928,
Emil Reinecke,German,1859,1943,
Adriano Bonifazi,Italian,1858,1914,
Prince Frederick Charles of Prussia,German,1828,1885,
Crown Prince Frederick William of Prussia,German,1831,1888,
Dame Emma Albani,"British, born Canada",1847,1930,
"General Charles Cousin-Montauban, Count de Palikao",French,1796,1878,
Eduard Vogel von Falckenstein,German,1797,1885,
T. W. Wood,British,1839,1910,
Prince George of Saxony,German,1832,1904,
Robert Moffat,British,1795,1883,
"Sir Henry Holland, 1st  Baronet",British,1788,1873,
"Edmund Havell, Jr.",British,1819,1919,
"William Frederick V, King of Prussia",German,1797,1888,
Napoleon III,French,1808,1873,
"Samuel Wilberforce, Bishop of Oxford and Winchester",British,1805,1873,
Mary Somerville,British,1780,1872,
Achille Bazaine,French,1811,1888,
Count Federico Sclopis di Salerano,Italian,1798,1878,
Gen. Karl Friedrich von Steinmetz,German,1796,1877,
"Marie Alexandrovna, Grand Duchess of Russia",Russian,1853,1920,
Pierre Antoine Branche,French,1805,1905,
Richard S. Moseley,British,1862,1893,
Therese Carolina Johanna Tietjens,British,1831,1877,
John Henry Letherbrow,British,1836,1883,
Mehmed Ali pasha,Turkish,1827,1878,
Prince Gorchakov,Russian,1800,1900,
Joseph Caraud,French,1821,1905,
Sir Samuel James Browne,British,1824,1901,
Rt. Hon William Ewart Gladstone,,,,
Barghash (ibn Sa'id),Tanzanian,1830,1888,
Richard Baxter,British,1615,1691,
William and James Reynolds Cheshire,British,1862,1901,
Berlin Photographic Company,,,,
William Baxter Collier Fyfe,"British, Scottish",1836,1882,
Grafton Tyler Brown,American,1841,1918,
Anna Williams,American,1791,1823,Female
Cipriano Cei,Italian,1864,1922,
George L. Seymour,British,1880,1890,
G. Leonce,British,1875,1890,
Frederick Verrall,British,1880,1885,
"Hugh Cecil Lowther, 5th Earl of Lonsdale",British,1857,1944,
R. H. Moore,British,1790,1975,
Stephen T. Dadd,British,1858,1917,
Oreste Cortazzo,Italian,1836,1889,
Jabez Hogg,British,1817,1899,
Edward Deanes,British,1860,1893,
Maynard Brown,British,1851,1939,
William Heysman Overend,British,1851,1898,
Doris Salcedo,Colombian,1958,9999,Female
Minna Keene,"Canadian, born Germany",1861,1943,Female
Whitford Carter,American,1900,1973,
François Hutin,French,1686,1758,
Gallery 360,,,,
Félix Devisuzanne,French,1809,1873,
Becheram Das Datta,,,,
Nritya Lal Datta,,,,
Krishna Chandra,,,,
Krishnahari Das,,,,
Osumi Yukie 大角幸枝,Japanese,1945,9999,
Otsuki Masako 大槻昌子,Japanese,1943,9999,
William Aiken Walker,American,1838,1921,
Thóra Sigurdardóttir,Icelandic,1954,,Female
Eygló Hardardóttir,Icelandic,1964,,
Solomon R. Guggenheim Museum,,,,
Sentex,French,1800,1900,
"Anonymous, French, late 19th century",French,1850,1900,
Agustín Cárdenas,Cuban,1927,2001,
Charles Fernique,French,1800,1900,
Louis François Charon,French,1783,1831,
C. Mondor,French,1800,1900,
Jean-François Casimir Delavigne,French,1793,1843,
Sétier,French,1800,1899,
Jean Gabriel Scheffer,Swiss,1797,1876,
De Roissy,French,1830,1835,
Kay Cassill,American,1925,9999,Female
J. McGahey,British,1800,1950,
"Anonymous, Spanish, late 16th–early 17th century",Spanish,1570,1620,
Cary Leibowitz,American,1963,9999,
Gan Erke,Chinese,1955,9999,
Zhu Dai,Chinese,1968,9999,
Jean Dréville,French,1906,1997,
Christian Julia,,1900,9999,
Christian Krohg,Norwegian,1852,1925,
Mme. la comtesse de Genlis,,,,
M. Lambert,,,,
Joseph Gray,British,1890,1963,
Methuen & Co.,,,,
James Hayday,,1796,1872,
Charles Isaac Elton,,1839,1900,
Mary Augusta Elton,,1838,1914,
"Kegan Paul, Trench Trubner & Co. Ltd.",,,,
Samuel Brookes,,,,
J. & S. Brockman,,,,
Michel David-Weill,,,,
Arthur Bloche,,1851,,
Harvey Quaytman,American,1937,2002,
Jin Xiya,Chinese,1890,1979,
Chen Baochen,Chinese,1848,1935,
Zhong Zhifu,Chinese,1914,1994,
Pang Laichen,Chinese,1864,1949,
Gao Shifeng,Chinese,1876,1960,
Pang Guojun,Chinese,1884,1966,
Wu Dongmai,Chinese,1886,1963,
Yuan Tanshu,Chinese,1899,1981,
Shen Shilong,Chinese,1925,1975,
Jin Kaiding (K Ting King),"American, born China",1917,1975,
Jean-Joseph-Marie-Anatole Marquet de Vasselot,,1840,1904,
Louis Alphonse Auger,French,1834,1904,
Knoedler & Company,,,,
Georges Lemaire,French,1853,1914,
Ivan Chermayeff,British,1932,9999,
Nakagawa Mamoru 中川衛,Japanese,1947,9999,
Ozawa Kōmin 大澤光民,Japanese,1941,9999,
Tamagawa Norio 玉川宣夫,Japanese,1942,9999,
Uozumi Iraku III 三代魚住為楽,Japanese,1937,9999,
Taguchi Toshichika 田口壽恒,Japanese,1940,9999,
Okuyama Hōseki 奥山峰石,Japanese,1937,9999,
Yamamoto Akira 山本晃,Japanese,1944,9999,
Katsura Morihito 桂盛仁,Japanese,1944,9999,
Miyata Ryohei 宮田亮平,Japanese,1945,9999,
Iede Takahiro 家出隆浩,Japanese,1962,9999,
Hata Shunsai III 三代畠春斎,Japanese,1974,9999,
Hannya Tamotsu 般若保,Japanese,1941,9999,
Sako Ryuhei 佐故龍平,Japanese,1976,9999,
Oshiyama Motoko 押山元子,Japanese,1958,9999,
Tanaka Terukazu 田中照一,Japanese,1945,9999,
Iino Ichirō 飯野一朗,Japanese,1949,9999,
Georg Horn,German,1620,1670,
Manuel Luis,Portuguese,1840,,
Clementine de Brelaz,Portuguese,1811,1892,Female
Ryūjo (Tatsujo),Japanese,1567,1599,
Nick Goss,British,1981,9999,
"Léon Laborde, Marquis de",,1807,1869,
Rahul Jain,Indian,1963,9999,
Hasmat Ansari,Indian,,,
Hira Lal Karmakar,Indian,,,
A. Gallice,,1850,1890,
Camille Bernabé,French,,,
L.A. Louver,,,,
Max Cole,American,1937,9999,Female
C. Castro,,,,
J. Alvarez,,,,
M. Mohar,,,,
Unidentified Mohawk Artist,,,,
"Dodington Montagu (née Greville), Duchess of Manchester",British,1672,1721,
E.V. Day,,,,
Guillaume Denière,French,1774,1866,
M. Combettes,French,1750,1880,
Maude Langtree,American,1937,1940,
Lewis C. Daniel,American,1901,1952,
Victor De Pauw,"American, born Belgium",1902,1971,
Edward Buk Ulreich,"American, born Hungary",1884,1966,
Elinor Gibson Graham,American,,1983,Female
Robert Graham Wahn,American,1937,1941,
Thomas Benedict Jones,American,1893,1940,
Andre Kormendie,"American, born Hungary",1905,1971,
Hugh Lauren Mills,American,1910,1951,
Fuji Nakamizo,"American, born Japan",1889,1950,
Nura Woodson Ulreich,American,1899,1950,Female
Charles L. Morgan Galleries,American,,,
Charles Bosseron Chambers,American,1882,1964,
Max Bernd-Cohen,American,1899,1987,
"William Cavendish, 3rd Duke of Devonshire",British,1698,1755,
Mary Hoare,British,1753,1820,
Teresia Constantia Phillips,British,1709,1765,
Lavinia Fenton,British,1708,1760,
John Ellys,British,1700,1757,
Millicent Rogers,,1902,1953,Female
"Charles Fitzroy, 2nd Duke of Grafton",,1683,1757,
Anastasia Robinson,British,1692,1755,
John James Heidegger,British,1659,1749,
Jean Baptiste Van Loo,French,1684,1745,
Arthur Maynwaring,British,1668,1712,
Cave Underhill,British,1634,1710,
Robert Byng,British,1666,1720,
Gabriel Mathias,British,1719,1804,
Lady Francis Byron (née Berkeley),British,1702,1757,
Lisabetta du Parc,French,1700,1778,
George Knapton,British,1698,1778,
Max Arthur Cohn,American,1903,1998,
Pedro Teixeira,,1595,1662,
Gego (Gertrud Goldschmidt),"Venezuelan, born Germany",1912,1994,Female
Sharon Church,American,1948,9999,Female
Harold Cohen,American,1928,2016,
Nate Collier,American,1883,1961,
World Color Printing Company,,1903,9999,
Anna Maria Ireland,British,1790,1800,
Anna Maria de Burgh Coppinger,British,,1802,
Henry Heath,British,1822,1842,
Luchita Hurtado,"American, born Venezuela",1920,2020,
Henry Young,American,1750,1850,
Elizabeth Josephine Poyen,American,1806,1868,
Thomas-Victor Sergent,French,,,
Manuel Mafra,Portuguese,1830,1905,
Emile Gambut,French,1838,,
Polakowski Tile Factory,French,,,
Alfred Renoleau,French,1854,1930,
Renoleau Manufactory,French,,,
Georges Pull,French,1810,1889,
Joseph Landais,French,1800,1883,
Charles-Jean Avisseau,French,1796,1861,
School of Paris,French,,,
Victor Barbizet,French,1805,1870,
Achille Barbizet,French,1825,1890,
Saint-Honoré-les-Bains,French,1820,1914,
José Francisco de Sousa,Portuguese,1860,1893,
Fabrica de Faianças das Caldas da Rainha,Portuguese,1884,1913,
Rafael Bordalo Pinheiro,Portuguese,1846,1905,
Edgardo Giménez,Argentinian,1942,9999,
Catherine Clive (née Raftor),British,1711,1785,
Alexander Van Aken,Flemish,1701,1757,
Jonathan Belcher,American,1681,1757,
Kenward Elmslie,American,1929,9999,
Rahim Kashani,Iranian,,,
Henry Woodward,British,1717,1777,
Elizabeth Griffin,British,1738,1747,
Pierre-Ulric Dubuisson,,1746,1794,
"Thomas Pelham-Holles, 1st Duke of Newcastle",British,1756,1768,
Daniel Lock,British,1681,1754,
Margaret (Peg) Woffington,Irish,1720,1760,
Margaret Trouncer,,1906,,
Maison Martinet,French,1800,1900,
Murase Gyokuden 村瀬玉田,Japanese,1852,1917,
Amano Hōko 天野方壺,Japanese,1828,1894,
Ikeda Unshō 池田雲樵,Japanese,1825,1886,
Asai Hakuzan 浅井柳塘,Japanese,1842,1907,
Yamanaka Shūhan 山中秋帆,Japanese,1832,1892,
Murata Kōkoku 村田香谷,Japanese,1831,1912,
Morikawa Sōbun 森川曾文,Japanese,1847,1902,
Mori Kansai 森寛斎,Japanese,1814,1894,
Shiokawa Ichidō 塩川一堂,Japanese,1867,1933,
Suzuki Hyakunen 鈴木百年,Japanese,1825,1891,
Shige Shuntō 重春塘,Japanese,1833,1904,
José Manuel de la Cerda,Mexico,,,
John Michael Williams,British,1743,1780,
Leeds Pottery,British,1765,1881,
"Louis-Jules Barbon Mancini-Mazarini, Duke of Nivernois",French,1716,1798,
Arthur Dobbs,British,1689,1765,
Sir John Moore,British,1620,1702,
Charles Blakes,British,,1763,
Leslie Garland Bolling,American,1898,1955,
"Akbar, Emperor of India",Indian,1542,1605,
Admiral Edward Vernon,,1684,1757,
Antonia Nell,American,1881,1960,
Yamada Hōgyoku 山田抱玉,Japanese,1820,1849,
Lawrence Marrero,American,1900,1959,
Alcide Pavageau,American,1888,1969,
Alton Purnell,American,1911,1987,
Calo Scott,"American, born Cuba",1920,1998,
George Lewis,American,1900,1968,
Dizzy Gillespie,American,1917,1993,
Willie Smith,American,1893,1973,
Samuel Coates,American,1748,1830,
Theodore Frelinghuysen,American,1787,1862,
Thomas Buchanan Read,American,1822,1872,
Kohn & Co.,,1877,1951,
Samuel Arlent Edwards,"American, born England",1862,1938,
Henrietta Read,British,1760,,
Simonetta Vespucci,Italian,1453,1476,
"Henry Stuart, Duke of Gloucester",British,1640,1660,
"Anne, Duchess of Cumberland and Stathearn",British,1743,1808,
"Prince Henry Frederick, Duke of Cumberland",British,1745,1790,
C. J. Chaumier,French,1740,1800,
Editions Acatos,,,,
Jane Bowles,British,1772,1812,
Sophia Catherine Musters (née Heywood),British,1758,1819,
Elizabeth Lowndes-Stone,British,1757,1837,
"Elizabeth Savile, Countess of Mexborough",British,1762,1821,
J. Percy Sabin,American,1872,1934,
Cramer,,1700,1780,
Dominique-Madeleine Moisy,French,1731,1816,
Thiemé,French,1710,1780,
Jean-Baptiste André,French,1735,1809,
Bordier,French,1700,1776,
Louis Adam Loriot,French,1700,1767,
Antoine Richard,French,1735,1807,
Francois Barbier,French,1720,1790,
Jean Charles Garnier d'Isle,,1697,1755,
Gentils,French,1701,1800,
Francesco Bettini,Italian,1735,1805,
Johann Prokop Mayer,Austrian,1737,1804,
Matsui Kōsei,Japanese,1927,2003,
Sekishō Shōan 石樵昌安,Japanese,1534,1566,
Yamada Shinzan 山田真山,Japanese,1887,1977,
Bianca Maria Sforza,Italian,1472,1510,
Giovanni Ambrogio de Predis,Italian,1472,1508,
Rene-Andre Coulon,French,1908,1997,
Saint-Gobain,,,,
Editions fac-similés,,,,
J. Barfield,British,1790,1817,
Franz Kadlik,Czech,1786,1840,
Ethel Barrymore,American,1879,1959,
Robert Smythier,British,1600,1689,
William Clausen & Co.,American,1889,1925,
"Anne Elizabeth Phipps, Baroness Mulgrave (née Cholmley)",British,1769,1788,
Dolley Todd Madison,,,,
William Clausen,American,1889,1925,
Violet Sargent Ormond,,1870,1955,Female
Julia Errington (née Macdonald),British,,1859,
John Laurance,"American, born England",1750,1810,
Mary Drummond Smith,British,1765,1804,
Frances Anne Taylor (née Vane),British,1769,1821,
Princess Augusta Sophia of the United Kingdom,British,1768,1840,
Piero della Francesca,Italian,1412,1492,
Elizabeth Mathew,British,1773,1778,
Charles William Lambton,British,1818,1831,
Mary Benwell,British,1739,1811,
Joanna Leigh,British,1758,1814,
Elizabeth Mary Grosvenor,British,1797,1891,
"Emilia, Lady Cahir",British,1769,1830,
Frances Douglas (née Browne),British,1746,1811,
Steve Wolfe,"American, born Italy",1955,2016,
Elizabeth Ann Sheridan (née Linley),British,1754,1792,
Huguette Caland,Lebanese,1931,2019,Female
Walt Disney Enterprises,American,1923,9999,
"John Scott, 1st Earl of Eldon",British,1751,1838,
Hilda Belcher,American,1881,1963,Female
Charlotte Davenport (née Sneyd),British,1756,1829,
Becharam Das Dutta,,,,
Shen Cunzhou,Chinese,1600,1699,
"Louise Marie Anne de Bourbon, Mademoiselle de Tours",French,1674,1681,
Master Francis Nicholls,British,1774,1874,
Sir Thomas Buckler Lethbridge,British,1778,1849,
Princess Louise Marie of France,French,1737,1787,
Amelia Frankland,British,1777,1800,
Marianne Frankland,British,1778,1795,
Beatrice d'Este,Italian,1475,1497,
Hans Georg Bramer,Austrian,1608,1661,
Jan Vermeyen,German,1559,1608,
Anonymous Viennese enamel painter,Austrian,1600,1700,
James Inskipp,British,1790,1868,
Jonathan Buttall,British,1752,1805,
Mary Ann Paton,British,1802,1864,
William J. Weaver,American,1759,1817,
A. Latry et Cie.,French,1859,1898,
Giuseppe Bianchi,Italian,1808,1877,
Seiyōsai Shunshi 青陽斎春子,Japanese,1820,1829,
Utagawa Sadamasu (Kunimasu)  初代歌貞升,Japanese,1820,1850,
Jukōdō Yoshikuni 寿好堂よし国,Japanese,1803,1840,
Ryūsai Shigeharu 柳斎重春,Japanese,1803,1853,
Wade Guyton,American,1972,9999,
Y/Project,French,2010,9999,
Glenn Martens,Belgian,,,
A. F. Vandevorst,Belgian,1997,9999,
Otto Freundlich,German,1878,1943,
Nijō Tameyo,Japanese,1250,1338,
Yelan Xinggui (Japanese: Yaran Shōkei) 也嬾性圭,Chinese,1613,1651,
Nanyuan Xingpai (Japanese: Nangen Shōha) 南源性派,Chinese,1631,1692,
Duzhan Xingying (Japanese: Dokutan Shōkei) 独湛性瑩,Chinese,1628,1706,
Jakugon 寂厳,Japanese,1702,1771,
Gekijō 撃壤,Japanese,,,
Seisetsu Shūcho 誠拙周樗,Japanese,1745,1820,
Kano Sōshū 狩野宗秀,Japanese,1551,1601,
Ono no Ozū (Ono no Tsū) 小野通,Japanese,1559,1631,Female
Hon'ami Kōetsu 本阿弥光悦,Japanese,1558,1637,
Unidentified painter and calligrapher,,,,
Joshinsai Sōsa 如心斎宗左,Japanese,1705,1751,
Kojima Sōshin 小島宗真,Japanese,1580,1656,
Imperial Prince-Monk Ryōshō 良尚入道親王,Japanese,1623,1693,
Matsuo Bashō 松尾芭蕉,Japanese,1644,1694,
Morikawa Kyoriku (Kyoroku) 森川許六,Japanese,1656,1715,
Ueda Akinari 上田秋成,Japanese,1734,1809,
Ryōkan Taigu 良寛,Japanese,1758,1831,
Kakutei 鶴亭 (Kaigan Jōkō 海眼浄光),Japanese,1722,1785,
Aoki Mokubei 青木木米,Japanese,1767,1833,
Hara Zaichū 原在中,Japanese,1750,1837,
Watanabe Kazan 渡辺崋山,Japanese,1793,1841,
Uragami Shunkin 浦上春琴,Japanese,1779,1846,
Hayashi Hyakuhi 林百非,Japanese,1797,1851,
Hoashi Kyōu 帆足杏雨,Japanese,1810,1884,
Jonathan Anderson,British,1984,,
JW Anderson,British,2008,,
Marques ' Almeida,British,2011,,
family of Manaku,Indian,1780,1790,
Phathu Nembilwi,South African,1993,9999,
Thebe Magugu,South African,,9999,
Muhammad Isma'il Isfahani,Iranian,1789,1917,
Benjamin J. Kough,American,1824,1850,
Eugène Olivier,,,,
C. Bosse,,,,
John Ker Roxburghe,,1740,1804,
Charles Corrall,,,,
Joseph de Laporte,,1713,1779,
Katharine Tynan,,1861,1931,
Robert Bateman,British,1842,1922,
Lilian Emerson May,British,,1909,
Roger Barthélemy,French,1770,1841,
Chevalier Férréol de Bonnemaison,French,1766,1826,
Yayoi Kusama,Japanese,1929,,
Tanaka Raishō,Japanese,1866,1940,
Meta Overbeck,American,1881,1946,Female
Bhajuman Chitrkar,Nepalese,1820,1850,
Peter Koster,American,,,
Edward Forman,,,,
Chuma Maweni,South African,1976,9999,
Zizipho Poswa,South African,1979,9999,
Andile Dyalvane,South African,1978,9999,
Sé Collections,European,2007,,
Ini Archibong,American,1983,9999,
Matteo Gonet,Swiss,1978,9999,
Glassworks Matteo Gonet GmbH,,,,
Nellie Avery Loring,American,1884,1953,
Olivier Rousteing,French,,9999,
Héctor Zamora,Mexican,1974,9999,
Atang Tshikare,South African,1980,9999,
David Bohnhoff,American,1968,9999,
Jomo Tariku,Ethiopian American,1968,9999,
Cyrus Kabiru,Kenyan,1984,9999,
Imiso Studio,South African,2005,,
Antoine Garnier,French,1611,1694,
Roberto Lugo,American,1981,9999,
L. T. Stanley,American,1875,1875,
Giuliano Zasso,Italian,1833,1889,
Shirayama Shōsai 白山松哉,Japanese,1853,1923,
Du-Good Press,American,,,
Tanekeya Word,American,1983,9999,
Pickwick Independent Press LLC,American,,,
Rachel Kobasa,American,1980,9999,
"Anonymous, French School, 19th Century",French,1800,1899,
Titus Kaphar,American,1976,9999,
Seher Shah,Pakistani-American,1975,9999,
Sosa Joseph,Indian,1971,9999,
Matthew Wong,Canadian,1984,2019,
Roy Talahaftewa,Hopi,1955,9999,
Akiyama Yō 秋山陽,Japanese,1953,9999,
Annemarie Verna Galerie,Swiss,1999,9999,
Wölfgang Rössler,German,1650,1717,
Christoph Drentwett,German,1606,1706,
Jacob Hogel,German,1600,1700,
Arthur Honore Radiguet,French,1850,1905,
Sanford Biggers,American,1970,9999,
Balthasar Bernaerts,Dutch,1710,1737,
Seymour Rosenthal,American,1921,2007,
Francis Bicknell Carpenter,American,1830,1900,
Edwin McMasters Stanton,American,1814,1869,
Benjamin Rush,American,1745,1813,
"William H. Furness, Jr.",American,1827,1867,
Emily Sartain,American,1841,1927,
John Ross,American,1921,2017,
Nina Fischer,German,1965,9999,Female
Maroan el Sani,German,1966,9999,
Hélène Forichon,French,1896,1989,
François Forichon,French,1865,1952,
Angela Pilgrim,American,1991,9999,
Jennifer Mack-Watkins,American,1979,9999,
Leslie Diuguid,American,1986,9999,
Delita Martin,American,1972,9999,
Stephanie Santana,American,1984,9999,
LaToya M. Hobbs,American,1983,9999,
Olaf Skoogfors,"American, born Sweden",1930,1975,
U Paw Hnyun,Burmese,,,
Alex Da Corte,American,1980,9999,
Neilson's,Canadian,1893,1947,
"James I, King of Scotland","British, born Scotland",1394,1427,
Thomas Grenville,British,1755,1846,
Hervé Télémaque,Haitian,1937,2022,
Victoria Yau,American,,,
Ted Warner,American,,,
"Damage Press, New York",American,,,
Joseph Rose II,British,1744,1799,
Alexander Wang,American,1983,9999,
Dawn Williams Boyd,American,1952,9999,
Tara Subkoff,American,1972,,
Imitation of Christ,American,2000,,
Marie Watt,"Seneca, American",1967,9999,
Rosenthal Porcelain,,1875,,
Paul-Ferdinand Gachet,,1828,1909,
Jan Verkolje (I),Dutch,1650,1693,
"Elizabeth Fitzgerald, Countess of Linton",Irish,1527,1590,
François Xavier Isabey,French,1775,1785,
George Maille,British,1800,1842,
B. Strange,British,1800,1900,
Nicole Eisenman,American,1965,9999,
Auguste Hadamard,French,1823,1886,
Richard Hatfield,British,1809,1867,
George Henry Adcock,British,1803,1851,
Herbert Carmichael Schmalz,British,1856,1935,
Sydney Ernest Wilson,British,1869,1963,
Margarita Paksa,Argentine,1933,2020,Female
Meyer Vaisman,"American, born Venezuela",1960,9999,
"Prince George, Duke of Cambridge",British,1819,1904,
Edward William Stodart,British,1841,1914,
Alexandra Princess of Wales,"British, born Denmark",1844,1925,
Yinka Ilori,British-Nigerian,1987,9999,
Thomas Brigstocke,"British, born Wales",1809,1881,
"Frederick, Prince of Wales",British,1707,1751,
"Augusta of Saxe-Gotha, Princess of Wales",British,1719,1772,
James William Wallack,"American, born Britain",1794,1864,
William Dimond,British,1780,1837,
Maria Gibbs,British,1770,1854,
John O'Keefe,Irish,1747,1833,
Mary Ann Davenport,British,1759,1843,
Sarah Booth,British,1793,1867,
Isaac John Bickerstaff,Anglo-Irish,1733,1808,
Daniel Terry,British,1789,1829,
Guerrilla Girls,American,1985,9999,Female
Sri Hemchandra Das,Indian,,,
Shib Gobin Lal,,,,
G. C. Dass,,,,
Sasadhar Banarjee,Indian,,,
The Hindu Art Studio,,,,
Phyllis Ames,,,,
Arnold H. Ronnebeck,American,1885,1947,
Ronau William Woiceske,American,1887,1953,
Elmer Plummer,American,1910,1986,
Fanny Davenport Rogers MacVeagh,American,1860,1948,
John McCombe Jr.,American,1763,1853,
Philip Hooker,American,1766,1836,
Eastern Corporation,American,1891,2004,
Beverly Chew,American,1850,1924,
Richard C. Jenkinson,American,1853,1930,
Emily Pierson Coe Jenkinson,American,1865,1922,
Lois Livington Bailey Balken,American,1877,1919,
Edward Duff Balken,American,1874,1960,
Robert W. and Emily De Forest,,,,
Henry Watson Kent,American,1866,1948,
Frank Farnum Dresser,American,1872,1924,
The Massachusetts Historical Society,,,,
"Butler Hospital Library, Providence, Rhode Island",American,1844,,
Eliza Anthony Hoppin Gammell,American,1859,1938,
James Donald Cameron Bradley,American,1883,1956,
Georges Guynemer,French,1894,1917,
Davis Shuman,American,1912,1966,
Daniel Berkeley Updike,American,1860,1941,
Charles Bulfinch,American,1763,1844,
John Bianchi,"American, born Italy",1874,1957,
L. Adler Brothers & Co.,American,1883,1951,
Lionel S. Reiss,American,1894,1986,
Charles Cobb Walker,American,1871,1950,
Douglas Crawford McMurtie,American,1888,1944,
John Cotton Dana,American,1856,1929,
Dr. William Sawyer Dennett,American,1849,1925,
Maria Howell Beck Dennett,American,1850,1942,
